date,product,category,sales,quantity,price
2024-01-01,Laptop,Electronics,1200,2,600
2024-01-02,Smartphone,Electronics,800,1,800
2024-01-03,Desk Chair,Furniture,300,3,100
2024-01-04,Monitor,Electronics,450,1,450
2024-01-05,Coffee Table,Furniture,200,1,200
2024-01-06,Tablet,Electronics,400,1,400
2024-01-07,Bookshelf,Furniture,150,1,150
2024-01-08,Keyboard,Electronics,60,2,30
2024-01-09,Office Desk,Furniture,500,1,500
2024-01-10,Mouse,Electronics,25,1,25
2024-01-11,Sofa,Furniture,800,1,800
2024-01-12,Headphones,Electronics,150,1,150
2024-01-13,Wardrobe,Furniture,700,1,700
2024-01-14,Webcam,Electronics,80,1,80
2024-01-15,Dining Table,Furniture,600,1,600
2024-01-16,Router,Electronics,120,1,120
2024-01-17,Bed Frame,Furniture,450,1,450
2024-01-18,Printer,Electronics,200,1,200
2024-01-19,Nightstand,Furniture,180,2,90
2024-01-20,Speaker,Electronics,100,1,100
